Vocabulary-Kanji,Vocabulary-Furigana,Vocabulary-Kana,Vocabulary-English,Vocabulary-Pos,Expression,Reading,Sentence-Kana,Sentence-English,Sentence-Clozed
血液,血液[けつえき],けつえき,blood,Noun,心臓は全身に<b>血液</b>を送り出している。,心臓[しんぞう]は 全身[ぜんしん]に<b> 血液[けつえき]</b>を 送[おく]り 出[だ]している。,しんぞう は ぜんしん に <b>けつえき</b> を おくりだして いる,The heart sends blood to the whole body.,心臓[しんぞう]は 全身[ぜんしん]に<b>（　）</b>を 送[おく]り 出[だ]している。
液,液[えき],えき,"liquid, fluid",Noun,容器から<b>液</b>がこぼれていますよ。,容器[ようき]から<b> 液[えき]</b>がこぼれていますよ。,ようき から <b>えき</b> が こぼれて います よ,The liquid is spilling from the container.,容器[ようき]から<b>（　）</b>がこぼれていますよ。
背中,背中[せなか],せなか,back,Noun,<b>背中</b>がかゆいです。,<b> 背中[せなか]</b>がかゆいです。,<b>せなか</b> が かゆい です,My back itches.,<b>（　）</b>がかゆいです。
がやがや,がやがや,がやがや,chatter loudly,Adverb,生徒たちが<b>がやがや</b>と騒いでいますね。,生徒[せいと]たちが<b>がやがや</b>と 騒[さわ]いでいますね。,せいとたち が <b>がやがや</b> と さわいで います ね,Students are making a lot of noise.,生徒[せいと]たちが<b>（　）</b>と 騒[さわ]いでいますね。
背広,背広[せびろ],せびろ,business suit,Noun,<b>背広</b>をクリーニングに出しました。,<b> 背広[せびろ]</b>をクリーニングに 出[だ]しました。,<b>せびろ</b> を くりーにんぐ に だしました,I took my suit to the dry cleaner.,<b>（　）</b>をクリーニングに 出[だ]しました。
骨折,骨折[こっせつ],こっせつ,"fracture, broken bone",Verbal Noun,彼女はスキーで足を<b>骨折</b>したの。,彼女[かのじょ]はスキーで 足[あし]を<b> 骨折[こっせつ]</b>したの。,かのじょ は すきー で あし を <b>こっせつ</b> した の,She fractured her foot while skiing.,彼女[かのじょ]はスキーで 足[あし]を<b>（　）</b>したの。
健全,健全[けんぜん],けんぜん,"healthy, sound",Adjective,子供の<b>健全</b>な心を育てましょう。,子供[こども]の<b> 健全[けんぜん]</b>な 心[こころ]を 育[そだ]てましょう。,こども の <b>けんぜん</b> な こころ を そだてましょう,Let's cultivate a wholesome mindset in children.,子供[こども]の<b>（　）</b>な 心[こころ]を 育[そだ]てましょう。
健康,健康[けんこう],けんこう,health,Noun,<b>健康</b>が一番大切だ。,<b> 健康[けんこう]</b>が 一番大切[いちばん たいせつ]だ。,<b>けんこう</b> が いちばん たいせつ だ 。,The most important thing is your health.,<b>（　）</b>が 一番大切[いちばん たいせつ]だ。
診断,診断[しんだん],しんだん,diagnosis,Verbal Noun,医師は異常なしと<b>診断</b>したんだ。,医師[いし]は 異常[いじょう]なしと<b> 診断[しんだん]</b>したんだ。,いし は いじょう なし と <b>しんだん</b> した ん だ,"According to the doctor's diagnosis, there's no abnormality.",医師[いし]は 異常[いじょう]なしと<b>（　）</b>したんだ。
診察,診察[しんさつ],しんさつ,medical examination,Verbal Noun,今日、病院で<b>診察</b>してもらったの。,今日[きょう]、 病院[びょういん]で<b> 診察[しんさつ]</b>してもらったの。,きょう びょういん で <b>しんさつ</b> して もらった の,I had an examination at the hospital today.,今日[きょう]、 病院[びょういん]で<b>（　）</b>してもらったの。
医療,医療[いりょう],いりょう,"medical service, healthcare",Noun,<b>医療</b>関係の仕事をしています。,<b> 医療[いりょう]</b> 関係[かんけい]の 仕事[しごと]をしています。,<b>いりょう</b> かんけい の しごと を して います,I work in healthcare.,<b>（　）</b> 関係[かんけい]の 仕事[しごと]をしています。
きょろきょろ,きょろきょろ,きょろきょろ,look around,Adverb,会場で子供が<b>きょろきょろ</b>しているわよ。,会場[かいじょう]で 子供[こども]が<b>きょろきょろ</b>しているわよ。,かいじょう で こども が <b>きょろきょろ</b> して いる わ よ,The child is staring about the hall.,会場[かいじょう]で 子供[こども]が<b>（　）</b>しているわよ。
気の毒,気[き]の 毒[どく],きのどく,"pitiable, regrettable",Adjectival Noun,彼らは<b>気の毒</b>な生活をしている。,彼[かれ]らは<b> 気[き]の 毒[どく]</b>な 生活[せいかつ]をしている。,かれら は <b>きのどく</b> な せいかつ を して いる,They live pitiful lives.,彼[かれ]らは<b>（　）</b>な 生活[せいかつ]をしている。
消毒,消毒[しょうどく],しょうどく,"disinfection, sterilization",Verbal Noun,足の傷を<b>消毒</b>したわ。,足[あし]の 傷[きず]を<b> 消毒[しょうどく]</b>したわ。,あし の きず を <b>しょうどく</b> した わ,I disinfected the wound on the foot.,足[あし]の 傷[きず]を<b>（　）</b>したわ。
症状,症状[しょうじょう],しょうじょう,symptom,Noun,医者に<b>症状</b>を説明したよ。,医者[いしゃ]に<b> 症状[しょうじょう]</b>を 説明[せつめい]したよ。,いしゃ に <b>しょうじょう</b> を せつめい した よ,I explained the symptoms to the doctor.,医者[いしゃ]に<b>（　）</b>を 説明[せつめい]したよ。
清書,清書[せいしょ],せいしょ,clean copy,Verbal Noun,この手紙を<b>清書</b>してください。,この 手紙[てがみ]を<b> 清書[せいしょ]</b>してください。,この てがみ を <b>せいしょ</b> して ください,Please make a clean copy of this letter.,この 手紙[てがみ]を<b>（　）</b>してください。
清潔,清潔[せいけつ],せいけつ,"cleanliness, neatness",Adjectival Noun,レストランは<b>清潔</b>が第一です。,レストランは<b> 清潔[せいけつ]</b>が 第一[だいいち]です。,れすとらん は <b>せいけつ</b> が だいいち です,In restaurants cleanliness is the most important thing.,レストランは<b>（　）</b>が 第一[だいいち]です。
監督,監督[かんとく],かんとく,"supervisor, film director",Verbal Noun,その<b>監督</b>はアカデミー賞を受賞したよな。,その<b> 監督[かんとく]</b>はアカデミー 賞[しょう]を 受賞[じゅしょう]したよな。,その <b>かんとく</b> は あかでみーしょう を じゅしょう した よ な,The director won an Academy Award.,その<b>（　）</b>はアカデミー 賞[しょう]を 受賞[じゅしょう]したよな。
撮影,撮影[さつえい],さつえい,"photographing, shoot",Verbal Noun,<b>撮影</b>は3ヶ月かけて行われました。,<b> 撮影[さつえい]</b>は 3ヶ月[さんかげつ]かけて 行[おこな]われました。,<b>さつえい</b> は さんかげつ かけて おこなわれました,Shooting took place over three months.,<b>（　）</b>は 3ヶ月[さんかげつ]かけて 行[おこな]われました。
描く,描[えが]く,えがく,"depict, describe",Verb,彼は人物を<b>描く</b>のがうまいな。,彼[かれ]は 人物[じんぶつ]を<b> 描[えが]く</b>のがうまいな。,かれ は じんぶつ を <b>えがく</b> の が うまい な,He is good at drawing people.,彼[かれ]は 人物[じんぶつ]を<b>（　）</b>のがうまいな。
くしゃみ,くしゃみ,くしゃみ,sneeze,Noun,風邪で<b>くしゃみ</b>が止まりません。,風邪[かぜ]で<b>くしゃみ</b>が 止[と]まりません。,かぜ で <b>くしゃみ</b> が とまりません,I can't stop sneezing because of my cold.,風邪[かぜ]で<b>（　）</b>が 止[と]まりません。
活躍,活躍[かつやく],かつやく,"activity, action",Verbal Noun,彼の<b>活躍</b>で優勝したよ。,彼[かれ]の<b> 活躍[かつやく]</b>で 優勝[ゆうしょう]したよ。,かれ の <b>かつやく</b> で ゆうしょう した よ,His performance led us to win the tournament.,彼[かれ]の<b>（　）</b>で 優勝[ゆうしょう]したよ。
再開,再開[さいかい],さいかい,"reopening, restart",Verbal Noun,試合はすぐに<b>再開</b>されたの。,試合[しあい]はすぐに<b> 再開[さいかい]</b>されたの。,しあい は すぐ に <b>さいかい</b> された の,The game was restarted at once.,試合[しあい]はすぐに<b>（　）</b>されたの。
再生,再生[さいせい],さいせい,playback,Verbal Noun,留守番電話のメッセージを<b>再生</b>したの。,留守番電話[るすばんでんわ]のメッセージを<b> 再生[さいせい]</b>したの。,るすばんでんわ の めっせーじ を <b>さいせい</b> した の,I played back the messages on the answering machine.,留守番電話[るすばんでんわ]のメッセージを<b>（　）</b>したの。
再会,再会[さいかい],さいかい,reunion,Verbal Noun,彼らは互いに<b>再会</b>を喜んだの。,彼[かれ]らは 互[たが]いに<b> 再会[さいかい]</b>を 喜[よろこ]んだの。,かれら は たがいに <b>さいかい</b> を よろこんだ の,They were both very pleased to meet each other again.,彼[かれ]らは 互[たが]いに<b>（　）</b>を 喜[よろこ]んだの。
編む,編[あ]む,あむ,knit,Verb,妹はマフラーを<b>編みました</b>。,妹[いもうと]はマフラーを<b> 編[あ]みました</b>。,いもうと は <b>まふらー</b> を <b>あみました</b>,My younger sister knitted a scarf.,妹[いもうと]はマフラーを<b>（　）</b>。
解放,解放[かいほう],かいほう,"release, setting free",Verbal Noun,人質が<b>解放</b>されてよかった。,人質[ひとじち]が<b> 解放[かいほう]</b>されてよかった。,ひとじち が <b>かいほう</b> されて よかった,It is good that the hostage has been freed.,人質[ひとじち]が<b>（　）</b>されてよかった。
開放,開放[かいほう],かいほう,opening,Verbal Noun,その国は市場の<b>開放</b>を求められているの。,その 国[くに]は 市場[しじょう]の<b> 開放[かいほう]</b>を 求[もと]められているの。,その くに は しじょう の <b>かいほう</b> を もとめられて いる の,That country has been requested to open its markets.,その 国[くに]は 市場[しじょう]の<b>（　）</b>を 求[もと]められているの。
ぐずぐず,ぐずぐず,ぐずぐず,"drag one's feet, waste time",Adverb,<b>ぐずぐず</b>していると電車に乗り遅れますよ。,<b>ぐずぐず</b>していると 電車[でんしゃ]に 乗[の]り 遅[おく]れますよ。,<b>ぐずぐず</b> して いる と でんしゃ に のりおくれます よ,You'll miss the train if you dilly-dally.,<b>（　）</b>していると 電車[でんしゃ]に 乗[の]り 遅[おく]れますよ。
重視,重視[じゅうし],じゅうし,"importance, value",Verbal Noun,あの企業では学歴が<b>重視</b>されるよ。,あの 企業[きぎょう]では 学歴[がくれき]が<b> 重視[じゅうし]</b>されるよ。,あの きぎょう で は がくれき が <b>じゅうし</b> される よ,An educational background is valued in that company.,あの 企業[きぎょう]では 学歴[がくれき]が<b>（　）</b>されるよ。
視点,視点[してん],してん,viewpoint,Noun,<b>視点</b>を変えて見てみましょう。,<b> 視点[してん]</b>を 変[か]えて 見[み]てみましょう。,<b>してん</b> を かえて みて みましょう,Let's try to change our point of view.,<b>（　）</b>を 変[か]えて 見[み]てみましょう。
近視,近視[きんし],きんし,"nearsightedness, shortsightedness",Noun,彼は軽い<b>近視</b>です。,彼[かれ]は 軽[かる]い<b> 近視[きんし]</b>です。,かれ は かるい <b>きんし</b> です,He is slightly near-sighted.,彼[かれ]は 軽[かる]い<b>（　）</b>です。
衣類,衣類[いるい],いるい,"clothes, garments",Noun,<b>衣類</b>の整理をしたよ。,<b> 衣類[いるい]</b>の 整理[せいり]をしたよ。,<b>いるい</b> の せいり を した よ,I organized the clothes.,<b>（　）</b>の 整理[せいり]をしたよ。
衣服,衣服[いふく],いふく,"clothes, dress",Noun,彼の会社は<b>衣服</b>を扱っているよ。,彼[かれ]の 会社[かいしゃ]は<b> 衣服[いふく]</b>を 扱[あつか]っているよ。,かれ の かいしゃ は <b>いふく</b> を あつかって いる よ,His company deals with clothing.,彼[かれ]の 会社[かいしゃ]は<b>（　）</b>を 扱[あつか]っているよ。
衣料,衣料[いりょう],いりょう,"clothing, garments",Noun,その会社は<b>衣料</b>を扱っているんだ。,その 会社[かいしゃ]は<b> 衣料[いりょう]</b>を 扱[あつか]っているんだ。,その かいしゃ は <b>いりょう</b> を あつかって いる ん だ,The company deals with clothing.,その 会社[かいしゃ]は<b>（　）</b>を 扱[あつか]っているんだ。
衣食住,衣食住[いしょくじゅう],いしょくじゅう,clothing and food and housing,Noun,土地によって<b>衣食住</b>は変化する。,土地[とち]によって<b> 衣食住[いしょくじゅう]</b>は 変化[へんか]する。,とち によって <b>いしょくじゅう</b> は へんか する,"Clothing, food and housing vary from region to region.",土地[とち]によって<b>（　）</b>は 変化[へんか]する。
くすぐったい,くすぐったい,くすぐったい,ticklish,Adjective,犬に顔をなめられて<b>くすぐったい</b>よ。,犬[いぬ]に 顔[かお]をなめられて<b>くすぐったい</b>よ。,いぬ に かお を なめられて <b>くすぐったい</b> よ 。,It tickles to have my face licked by a dog.,犬[いぬ]に 顔[かお]をなめられて<b>（　）</b>よ。
仮に,仮[かり]に,かりに,"supposing that, even if",Adverb,<b>仮に</b>それが事実だとしてももう遅いよ。,<b> 仮[かり]に</b>それが 事実[じじつ]だとしてももう 遅[おそ]いよ。,<b>かりに</b> それ が じじつ だ と して も もう おそい よ,"Even if it is true, it's already too late.",<b>（　）</b>それが 事実[じじつ]だとしてももう 遅[おそ]いよ。
仮定,仮定[かてい],かてい,"assumption, supposition",Verbal Noun,<b>仮定</b>の話だけでは結論は出ません。,<b> 仮定[かてい]</b>の 話[はなし]だけでは 結論[けつろん]は 出[で]ません。,<b>かてい</b> の はなし だけ で は けつろん は でません,A conclusion can't come from assumptions alone.,<b>（　）</b>の 話[はなし]だけでは 結論[けつろん]は 出[で]ません。
仮,仮[かり],かり,"provisional, temporary",Noun,<b>仮</b>の申し込みをしました。,<b> 仮[かり]</b>の 申[もう]し 込[こ]みをしました。,<b>かり</b> の もうしこみ を しました,I submitted a temporary application.,<b>（　）</b>の 申[もう]し 込[こ]みをしました。
仮名遣い,仮名遣[かなづか]い,かなづかい,"kana orthography, use of kana",Noun,祖父は古い<b>仮名遣い</b>で書くことがあるの。,祖父[そふ]は 古[ふる]い<b> 仮名遣[かなづか]い</b>で 書[か]くことがあるの。,そふ は ふるい <b>かなづかい</b> で かく こと が ある の,My grandfather sometimes writes in the old kana orthography.,祖父[そふ]は 古[ふる]い<b>（　）</b>で 書[か]くことがあるの。
演説,演説[えんぜつ],えんぜつ,"speech, address",Verbal Noun,彼は地方で<b>演説</b>したのよ。,彼[かれ]は 地方[ちほう]で<b> 演説[えんぜつ]</b>したのよ。,かれ は ちほう で <b>えんぜつ</b> した の よ,He made a speech in the provinces.,彼[かれ]は 地方[ちほう]で<b>（　）</b>したのよ。
公演,公演[こうえん],こうえん,public performance,Verbal Noun,彼らの海外<b>公演</b>が発表されたよ。,彼[かれ]らの 海外[かいがい]<b> 公演[こうえん]</b>が 発表[はっぴょう]されたよ。,かれら の かいがい<b>こうえん</b> が はっぴょう された よ,Their overseas performances were announced.,彼[かれ]らの 海外[かいがい]<b>（　）</b>が 発表[はっぴょう]されたよ。
演じる,演[えん]じる,えんじる,"perform, play",Verb,彼はよく刑事の役を<b>演じる</b>ね。,彼[かれ]はよく 刑事[けいじ]の 役[やく]を<b> 演[えん]じる</b>ね。,かれ は よく けいじ の やく を <b>えんじる</b> ね,He often performs the role of a detective.,彼[かれ]はよく 刑事[けいじ]の 役[やく]を<b>（　）</b>ね。
出演,出演[しゅつえん],しゅつえん,"appearance on stage, performance",Verbal Noun,彼女はその映画に<b>出演</b>しているよ。,彼女[かのじょ]はその 映画[えいが]に<b> 出演[しゅつえん]</b>しているよ。,かのじょ は その えいが に <b>しゅつえん</b> して いる よ,She is performing in the movie.,彼女[かのじょ]はその 映画[えいが]に<b>（　）</b>しているよ。
くたびれる,くたびれる,くたびれる,"get tired, be worn out",Verb,たくさん歩いて<b>くたびれました</b>。,たくさん 歩[ある]いて<b>くたびれました</b>。,たくさん あるいて <b>くたびれました</b>,I was worn out from walking so much.,たくさん 歩[ある]いて<b>（　）</b>。
劇,劇[げき],げき,"drama, play",Noun,小学校で子供たちの<b>劇</b>を見ました。,小学校[しょうがっこう]で 子供[こども]たちの<b> 劇[げき]</b>を 見[み]ました。,しょうがっこう で こどもたち の <b>げき</b> を みました,I saw a children's play at an elementary school.,小学校[しょうがっこう]で 子供[こども]たちの<b>（　）</b>を 見[み]ました。
劇場,劇場[げきじょう],げきじょう,theater,Noun,午後8時に<b>劇場</b>の前で会いましょう。,午後8時[ごご はちじ]に<b> 劇場[げきじょう]</b>の 前[まえ]で 会[あ]いましょう。,ごご はちじ に <b>げきじょう</b> の まえ で あいましょう,Let's meet in front of the theater at 8:00 pm.,午後8時[ごご はちじ]に<b>（　）</b>の 前[まえ]で 会[あ]いましょう。
演劇,演劇[えんげき],えんげき,"drama, play",Noun,彼女は<b>演劇</b>を学んでいます。,彼女[かのじょ]は<b> 演劇[えんげき]</b>を 学[まな]んでいます。,かのじょ は <b>えんげき</b> を まなんで います,She studies acting.,彼女[かのじょ]は<b>（　）</b>を 学[まな]んでいます。
喜劇,喜劇[きげき],きげき,comedy,Noun,昨夜はテレビで<b>喜劇</b>を見たよ。,昨夜[さくや]はテレビで<b> 喜劇[きげき]</b>を 見[み]たよ。,さくや は てれび で <b>きげき</b> を みた よ,I watched a comedy show on TV last night.,昨夜[さくや]はテレビで<b>（　）</b>を 見[み]たよ。
悲しみ,悲[かな]しみ,かなしみ,"grief, sadness",Noun,突然の<b>悲しみ</b>が一家を襲いました。,突然[とつぜん]の<b> 悲[かな]しみ</b>が 一家[いっか]を 襲[おそ]いました。,とつぜん の <b>かなしみ</b> が いっか を おそいました,Sudden grief fell upon the whole family.,突然[とつぜん]の<b>（　）</b>が 一家[いっか]を 襲[おそ]いました。
集団,集団[しゅうだん],しゅうだん,"group, mass",Noun,テロ<b>集団</b>が警察に捕まりました。,テロ<b> 集団[しゅうだん]</b>が 警察[けいさつ]に 捕[つか]まりました。,てろ <b>しゅうだん</b> が けいさつ に つかまりました,The terrorist group was caught by the police.,テロ<b>（　）</b>が 警察[けいさつ]に 捕[つか]まりました。
固定,固定[こてい],こてい,"fixing, stability",Verbal Noun,棒をテープで<b>固定</b>しなさい。,棒[ぼう]をテープで<b> 固定[こてい]</b>しなさい。,ぼう を てーぷ で <b>こてい</b> しなさい,Fix the stick in place with tape.,棒[ぼう]をテープで<b>（　）</b>しなさい。
いらいら,いらいら,いらいら,be irritated,Adjective,彼女は朝から<b>いらいら</b>している。,彼女[かのじょ]は 朝[あさ]から<b>いらいら</b>している。,かのじょ は あさ から <b>いらいら</b> して いる,She's been feeling irritated since this morning.,彼女[かのじょ]は 朝[あさ]から<b>（　）</b>している。
固める,固[かた]める,かためる,"harden, strengthen",Verb,私はもう決心を<b>固めた</b>の。,私[わたし]はもう 決心[けっしん]を<b> 固[かた]めた</b>の。,わたし は もう けっしん を <b>かためた</b> の,I already made up my mind.,私[わたし]はもう 決心[けっしん]を<b>（　）</b>の。
固まる,固[かた]まる,かたまる,"harden, solidify",Verb,もうプリンは<b>固まった</b>かな。,もうプリンは<b> 固[かた]まった</b>かな。,もう ぷりん は <b>かたまった</b> か な,Has the pudding set already?,もうプリンは<b>（　）</b>かな。
固体,固体[こたい],こたい,"solid, solid matter",Noun,氷は<b>固体</b>です。,氷[こおり]は<b> 固体[こたい]</b>です。,こおり は <b>こたい</b> です,Ice is a solid.,氷[こおり]は<b>（　）</b>です。
固有,固有[こゆう],こゆう,"peculiar to, characteristic",Adjectival Noun,これは日本<b>固有</b>の鳥です。,これは 日本[にほん]<b> 固有[こゆう]</b>の 鳥[とり]です。,これ は にほん <b>こゆう</b> の とり です,This bird is native to Japan.,これは 日本[にほん]<b>（　）</b>の 鳥[とり]です。
主催,主催[しゅさい],しゅさい,"sponsorship, promotion",Verbal Noun,その芸術祭は市が<b>主催</b>しています。,その 芸術祭[げいじゅつさい]は 市[し]が<b> 主催[しゅさい]</b>しています。,その げいじゅつさい は し が <b>しゅさい</b> して います,The art festival is sponsored by the city.,その 芸術祭[げいじゅつさい]は 市[し]が<b>（　）</b>しています。
促す,促[うなが]す,うながす,"hasten, urge",Verb,彼に集中するよう注意を<b>促しといた</b>よ。,彼[かれ]に 集中[しゅうちゅう]するよう 注意[ちゅうい]を<b> 促[うなが]しといた</b>よ。,かれ に しゅうちゅう する よう ちゅうい を <b>うながし とい た</b> よ,I urged him to concentrate.,彼[かれ]に 集中[しゅうちゅう]するよう 注意[ちゅうい]を<b>（　）</b>よ。
催促,催促[さいそく],さいそく,"demand, urging",Verbal Noun,彼女に本を返すように<b>催促</b>したの。,彼女[かのじょ]に 本[ほん]を 返[かえ]すように<b> 催促[さいそく]</b>したの。,かのじょ に ほん を かえす よう に <b>さいそく</b> した の,I urged her to return the book.,彼女[かのじょ]に 本[ほん]を 返[かえ]すように<b>（　）</b>したの。
エチケット,エチケット,エチケット,etiquette,Noun,<b>エチケット</b>を守ることは大切です。,<b>エチケット</b>を 守[まも]ることは 大切[たいせつ]です。,<b>えちけっと</b> を まもる こと は たいせつ です,It is important to keep the rules of etiquette.,<b>（　）</b>を 守[まも]ることは 大切[たいせつ]です。
古典,古典[こてん],こてん,classics,Noun,私は<b>古典</b>を読むのが好きです。,私[わたし]は<b> 古典[こてん]</b>を 読[よ]むのが 好[す]きです。,わたし は <b>こてん</b> を よむ の が すき です,I like to read classics.,私[わたし]は<b>（　）</b>を 読[よ]むのが 好[す]きです。
辞典,辞典[じてん],じてん,dictionary,Noun,知らない言葉を<b>辞典</b>で調べました。,知[し]らない 言葉[ことば]を<b> 辞典[じてん]</b>で 調[しら]べました。,しらない ことば を <b>じてん</b> で しらべました,I looked up the word I didn't know in the dictionary.,知[し]らない 言葉[ことば]を<b>（　）</b>で 調[しら]べました。
殊に,殊[こと]に,ことに,"especially, exceptionally",Adverb,ロックは<b>殊に</b>若者に人気だ。,ロックは<b> 殊[こと]に</b> 若者[わかもの]に 人気[にんき]だ。,ろっく は <b>ことに</b> わかもの に にんき だ,Rock music is especially popular among young people.,ロックは<b>（　）</b> 若者[わかもの]に 人気[にんき]だ。
象徴,象徴[しょうちょう],しょうちょう,"symbol, symbolize",Verbal Noun,天皇は日本国の<b>象徴</b>です。,天皇[てんのう]は 日本国[にほんこく]の<b> 象徴[しょうちょう]</b>です。,てんのう は にほんこく の <b>しょうちょう</b> です,The emperor is a symbol of Japan.,天皇[てんのう]は 日本国[にほんこく]の<b>（　）</b>です。
微か,微[かす]か,かすか,"faint, dim",Adjective,階下から<b>微か</b>な音が聞こえた。,階下[かいか]から<b> 微[かす]か</b>な 音[おと]が 聞[き]こえた。,かいか から <b>かすか</b> な おと が きこえた,I heard a faint sound from downstairs.,階下[かいか]から<b>（　）</b>な 音[おと]が 聞[き]こえた。
ご免,ご 免[めん],ごめん,sorry,Noun,遅れて<b>ご免</b>。,遅[おく]れて<b>ご 免[めん]</b>。,おくれて <b>ごめん</b>,I am sorry I'm late.,遅[おく]れて<b>（　）</b>。
許可,許可[きょか],きょか,"permission, approval",Verbal Noun,先生に<b>許可</b>をもらって早退しました。,先生[せんせい]に<b> 許可[きょか]</b>をもらって 早退[そうたい]しました。,せんせい に <b>きょか</b> を もらって そうたい しました,I got permission from the teacher and left early.,先生[せんせい]に<b>（　）</b>をもらって 早退[そうたい]しました。
訓練,訓練[くんれん],くんれん,"training, drill",Verbal Noun,学校で避難<b>訓練</b>がありました。,学校[がっこう]で 避難[ひなん]<b> 訓練[くんれん]</b>がありました。,がっこう で ひなん <b>くんれん</b> が ありました,There was a fire drill at the school.,学校[がっこう]で 避難[ひなん]<b>（　）</b>がありました。
かっと,かっと,かっと,"lose one's temper, fly into a rage",Adverb,<b>かっと</b>なって余計なことを言ってしまったな。,<b>かっと</b>なって 余計[よけい]なことを 言[い]ってしまったな。,<b>かっと</b> なって よけい な こと を いって しまった な,I lost my temper and said something I shouldn't have.,<b>（　）</b>なって 余計[よけい]なことを 言[い]ってしまったな。
訓読み,訓読[くんよ]み,くんよみ,Japanese pronunciation,Verbal Noun,漢字には音読みと<b>訓読み</b>があります。,漢字[かんじ]には 音読[おんよ]みと<b> 訓読[くんよ]み</b>があります。,かんじ に は おんよみ と <b>くんよみ</b> が あります,Every kanji has both Chinese-derived and Japanese pronunciations.,漢字[かんじ]には 音読[おんよ]みと<b>（　）</b>があります。
訓,訓[くん],くん,Japanese reading of kanji,Noun,漢字の読み方には、音と<b>訓</b>の2通りがあるの。,漢字[かんじ]の 読[よ]み 方[かた]には、 音[おん]と<b> 訓[くん]</b>の 2通[ふたとお]りがあるの。,かんじ の よみかた に は おん と <b>くん</b> の ふたとおり が ある の,There are two ways to pronounce kanji: the Chinese-derived reading and the Japanese reading.,漢字[かんじ]の 読[よ]み 方[かた]には、 音[おん]と<b>（　）</b>の 2通[ふたとお]りがあるの。
助詞,助詞[じょし],じょし,"particle, postposition",Noun,<b>助詞</b>を変えると文の意味が変わります。,<b> 助詞[じょし]</b>を 変[か]えると 文[ぶん]の 意味[いみ]が 変[か]わります。,<b>じょし</b> を かえる と ぶん の いみ が かわります,The sentence meaning changes when the particle is changed.,<b>（　）</b>を 変[か]えると 文[ぶん]の 意味[いみ]が 変[か]わります。
形容詞,形容詞[けいようし],けいようし,adjective,Noun,「大きい」は<b>形容詞</b>です。,「 大[おお]きい」は<b> 形容詞[けいようし]</b>です。,おおきい は <b>けいようし</b> です,Large is an adjective.,「 大[おお]きい」は<b>（　）</b>です。
上司,上司[じょうし],じょうし,boss,Noun,<b>上司</b>に相談してみます。,<b> 上司[じょうし]</b>に 相談[そうだん]してみます。,<b>じょうし</b> に そうだん して みます,I will consult my boss.,<b>（　）</b>に 相談[そうだん]してみます。
司会,司会[しかい],しかい,"master of ceremonies, host",Verbal Noun,彼は<b>司会</b>が上手ですね。,彼[かれ]は<b> 司会[しかい]</b>が 上手[じょうず]ですね。,かれ は <b>しかい</b> が じょうず です ね,He is a good moderator.,彼[かれ]は<b>（　）</b>が 上手[じょうず]ですね。
購入,購入[こうにゅう],こうにゅう,purchase,Verbal Noun,入学式の後、教科書を<b>購入</b>してください。,入学式[にゅうがくしき]の 後[あと]、 教科書[きょうかしょ]を<b> 購入[こうにゅう]</b>してください。,にゅうがくしき の あと きょうかしょ を <b>こうにゅう</b> して ください,Please buy the textbooks after the entrance ceremony.,入学式[にゅうがくしき]の 後[あと]、 教科書[きょうかしょ]を<b>（　）</b>してください。
がらがら,がらがら,がらがら,gargle,Adverb,誰かが<b>ガラガラ</b>とうがいをしているね。,誰[だれ]かが<b>ガラガラ</b>とうがいをしているね。,だれか が <b>がらがら</b> と うがい を して いる ね,Someone is gargling loudly.,誰[だれ]かが<b>（　）</b>とうがいをしているね。
講演,講演[こうえん],こうえん,lecture,Verbal Noun,彼の<b>講演</b>は評判がいい。,彼[かれ]の<b> 講演[こうえん]</b>は 評判[ひょうばん]がいい。,かれ の <b>こうえん</b> は ひょうばん が いい,His lectures have a good reputation.,彼[かれ]の<b>（　）</b>は 評判[ひょうばん]がいい。
講義,講義[こうぎ],こうぎ,lecture,Verbal Noun,彼の<b>講義</b>はとても分かりやすいですね。,彼[かれ]の<b> 講義[こうぎ]</b>はとても 分[わ]かりやすいですね。,かれ の <b>こうぎ</b> は とても わかり やすい です ね,His lectures are very easy to understand.,彼[かれ]の<b>（　）</b>はとても 分[わ]かりやすいですね。
休講,休講[きゅうこう],きゅうこう,cancellation of lecture,Verbal Noun,今日のフランス語の講座は<b>休講</b>です。,今日[きょう]のフランス 語[ご]の 講座[こうざ]は<b> 休講[きゅうこう]</b>です。,きょう の ふらんすご の こうざ は <b>きゅうこう</b> です,Today's French class is canceled.,今日[きょう]のフランス 語[ご]の 講座[こうざ]は<b>（　）</b>です。
医師,医師[いし],いし,"doctor, physician",Noun,<b>医師</b>に入院を勧められたの。,<b> 医師[いし]</b>に 入院[にゅういん]を 勧[すす]められたの。,<b>いし</b> に にゅういん を すすめられた の,The doctor suggested I admit myself to a hospital.,<b>（　）</b>に 入院[にゅういん]を 勧[すす]められたの。
講師,講師[こうし],こうし,"speaker, lecturer",Noun,専門家を<b>講師</b>に招いた。,専門家[せんもんか]を<b> 講師[こうし]</b>に 招[まね]いた。,せんもんか を <b>こうし</b> に まねいた,We invited a specialist to lecture the class.,専門家[せんもんか]を<b>（　）</b>に 招[まね]いた。
